,original_acc,dropped_acc
0,1.0,0.9
1,0.9,0.8
2,0.8,0.8
3,0.7,0.6
4,1.0,0.9
5,1.0,0.9
6,1.0,0.9
7,0.8,0.6
8,0.8,0.8
9,1.0,0.9
