,clone,cell
0,1,CRC09_NC_201
1,1,CRC09_NC_205
2,2,CRC09_PT1_241
3,2,CRC09_PT1_243
4,2,CRC09_PT1_244
5,2,CRC09_PT1_245
6,0,CRC09_PT2_293
7,0,CRC09_PT3_459
8,1,CRC09_PT3_460
9,0,CRC09_PT3_461
10,3,CRC09_PT3_462
11,2,CRC09_PT3_463
12,0,CRC09_PT3_464
13,2,CRC09_PT3_606
14,2,CRC09_PT3_609
15,2,CRC09_PT3_610
16,3,CRC09_PT3_611
17,0,CRC09_PT4_509
18,2,CRC09_PT4_510
19,0,CRC09_PT4_511
20,0,CRC09_PT4_512
21,0,CRC09_PT4_513
22,0,CRC09_PT4_514
23,2,CRC09_PT5_560
24,2,CRC09_PT5_562
