,original_acc,dropped_acc
0,0.9,0.9
1,0.7,0.7
2,0.8,0.8
3,0.8,0.8
4,0.9,0.9
5,0.8,0.7
6,1.0,1.0
7,0.7,0.6
8,0.8,0.8
9,1.0,1.0
