,dat_type,accuracy,clone_0,clone_1,clone_2,clone_3
0,original,0.8245614035087719,35,41,13,4
1,resampled,0.631578947368421,19,32,20,22
2,resampled,0.6491228070175439,19,62,0,12
3,resampled,0.2631578947368421,26,1,42,24
4,resampled,0.7368421052631579,29,29,8,27
5,resampled,0.6140350877192983,38,13,38,4
6,resampled,0.47368421052631576,4,34,3,52
7,resampled,0.6140350877192983,50,8,35,0
8,resampled,0.47368421052631576,5,38,15,35
9,resampled,0.631578947368421,20,43,23,7
10,resampled,0.40350877192982454,0,43,43,7
