cell,predict_cell
PAT20(CARD)_AH318,PAT20(ESO)_E_334
PAT20(CARD)_AH319,PAT16(NDBE)_B_178
PAT20(CARD)_AH320,PAT9(NDBE)_J_220
PAT20(CARD)_AH322,PAT6(HGD)_I_173
PAT20(CARD)_AH324,PAT9(NDBE)_J_255
PAT20(CARD)_AH325,PAT20(ESO)_E_134
PAT20(CARD)_AH327,PAT9(NDBE)_J_301
PAT20(CARD)_AH329,PAT20(CARD)_F_235
PAT20(CARD)_AH332,PAT14(NDBE)_D_212
PAT20(CARD)_AH336,PAT9(NDBE)_J_16
PAT20(CARD)_AH339,PAT6(HGD)_I_208
PAT20(CARD)_AH341,PAT16(NDBE)_B_354
PAT20(CARD)_AH342,PAT20(CARD)_F_362
PAT20(CARD)_AH343,PAT6(HGD)_I_281
PAT20(CARD)_AH344,PAT19(LGD)_B_24
PAT20(CARD)_AH346,PAT19(LGD)_B_40
PAT20(CARD)_AH347,PAT20(ESO)_E_98
PAT20(CARD)_AH349,PAT9(NDBE)_J_15
PAT20(CARD)_AH350,PAT9(NDBE)_J_31
PAT20(CARD)_AH352,PAT16(NDBE)_B_230
PAT20(CARD)_AH353,PAT9(NDBE)_J_102
PAT20(CARD)_AH354,PAT16(EAC)_A_95
PAT20(CARD)_AH355,PAT20(ESO)_E_141
PAT20(CARD)_AH356,PAT14(NDBE)_D_64
PAT20(CARD)_AH357,PAT9(NDBE)_J_326
PAT20(CARD)_AH358,PAT20(CARD)_F_134
PAT20(CARD)_AH359,PAT16(NDBE)_B_134
PAT20(CARD)_AH360,PAT19(LGD)_B_269
PAT20(CARD)_AH361,PAT6(HGD)_I_92
PAT20(CARD)_AH364,PAT20(CARD)_F_330
PAT20(CARD)_AH365,PAT16(EAC)_A_258
PAT20(CARD)_AH367,PAT20(ESO)_E_88
PAT20(CARD)_AH368,PAT6(HGD)_I_285
PAT20(CARD)_AH369,PAT19(LGD)_B_85
PAT20(CARD)_AH370,PAT6(HGD)_I_339
PAT20(CARD)_AH371,PAT6(HGD)_I_163
PAT20(CARD)_AH372,PAT20(CARD)_F_196
PAT20(CARD)_AH373,PAT9(NDBE)_J_313
PAT20(CARD)_AH374,PAT6(LGD)_H_236
PAT20(CARD)_AH375,PAT19(LGD)_B_146
PAT20(CARD)_AH376,PAT19(LGD)_B_165
PAT20(CARD)_AH383,PAT20(ESO)_E_354
PAT20(ESO)_AD001,PAT9(NDBE)_J_213
PAT20(ESO)_AD003,PAT9(NDBE)_J_368
PAT20(ESO)_AD006,PAT9(NDBE)_J_93
PAT20(ESO)_AD007,PAT20(ESO)_E_17
PAT20(ESO)_AD008,PAT9(NDBE)_J_308
PAT20(ESO)_AD010,PAT16(NDBE)_B_227
PAT20(ESO)_AD011,PAT9(NDBE)_J_328
PAT20(ESO)_AD012,PAT20(ESO)_E_268
PAT20(ESO)_AD014,PAT14(NDBE)_D_323
PAT20(ESO)_AD015,PAT20(ESO)_E_276
PAT20(ESO)_AD017,PAT20(CARD)_F_130
PAT20(ESO)_AD019,PAT20(ESO)_E_148
PAT20(ESO)_AD020,PAT9(NDBE)_J_76
PAT20(ESO)_AD021,PAT6(LGD)_H_89
PAT20(ESO)_AD023,PAT19(LGD)_B_207
PAT20(ESO)_AD025,PAT20(ESO)_E_313
PAT20(ESO)_AD026,PAT9(NDBE)_J_89
PAT20(ESO)_AD027,PAT9(NDBE)_J_296
PAT20(ESO)_AD028,PAT20(ESO)_E_373
PAT20(ESO)_AD031,PAT20(CARD)_F_126
PAT20(ESO)_AD032,PAT9(NDBE)_J_374
PAT20(ESO)_AD035,PAT20(CARD)_F_13
PAT20(ESO)_AD039,PAT20(CARD)_F_158
PAT20(ESO)_AD041,PAT20(ESO)_E_170
PAT20(ESO)_AD042,PAT9(NDBE)_J_3
PAT20(ESO)_AD043,PAT20(ESO)_E_156
PAT20(ESO)_AD044,PAT19(LGD)_B_270
PAT20(ESO)_AD048,PAT14(HGD)_C_173
PAT20(ESO)_AD050,PAT20(ESO)_E_58
PAT20(ESO)_AD053,PAT20(CARD)_F_348
PAT20(ESO)_AD059,PAT20(ESO)_E_160
PAT20(ESO)_AD065,PAT20(ESO)_E_318
PAT20(ESO)_AD071,PAT9(NDBE)_J_361
PAT20(ESO)_AD072,PAT16(EAC)_A_285
PAT20(ESO)_AD073,PAT9(NDBE)_J_235
PAT20(ESO)_AD074,PAT20(ESO)_E_287
PAT20(ESO)_AD078,PAT14(NDBE)_D_160
PAT20(ESO)_AD081,PAT20(ESO)_E_130
PAT20(ESO)_AD082,PAT20(CARD)_F_135
PAT20(ESO)_AD091,PAT20(ESO)_E_325
PAT20(ESO)_AD092,PAT9(NDBE)_J_128
PAT20(ESO)_AD094,PAT20(CARD)_F_35
PAT20(ESO)_AD096,PAT9(NDBE)_J_222
PAT20(ESO)_AD102,PAT20(CARD)_F_358
PAT20(ESO)_AD106,PAT20(CARD)_F_345
PAT20(ESO)_AD112,PAT9(NDBE)_J_69
PAT20(ESO)_AD115,PAT20(ESO)_E_107
PAT20(ESO)_AD117,PAT19(LGD)_B_328
PAT20(ESO)_AD120,PAT16(EAC)_A_208
PAT20(ESO)_AD121,PAT6(HGD)_I_118
PAT20(ESO)_AD122,PAT14(NDBE)_D_340
PAT20(ESO)_AD123,PAT19(LGD)_B_54
PAT20(ESO)_AD133,PAT19(LGD)_B_46
PAT20(ESO)_AD134,PAT6(HGD)_I_330
PAT20(ESO)_AD135,PAT14(NDBE)_D_104
PAT20(ESO)_AD136,PAT6(HGD)_I_131
PAT20(ESO)_AD137,PAT19(LGD)_B_330
PAT20(ESO)_AD141,PAT14(HGD)_C_340
PAT20(ESO)_AD151,PAT19(LGD)_B_0
PAT20(ESO)_AD154,PAT20(CARD)_F_179
PAT20(ESO)_AD156,PAT14(NDBE)_D_221
PAT20(ESO)_AD159,PAT20(ESO)_E_339
PAT20(ESO)_AD161,PAT9(NDBE)_J_158
PAT20(ESO)_AD162,PAT20(CARD)_F_82
PAT20(ESO)_AD163,PAT19(LGD)_B_294
PAT20(ESO)_AD165,PAT9(NDBE)_J_177
PAT20(ESO)_AD166,PAT20(CARD)_F_249
PAT20(ESO)_AD168,PAT20(ESO)_E_208
PAT20(ESO)_AD169,PAT9(NDBE)_J_32
PAT20(ESO)_AD175,PAT6(HGD)_I_70
PAT20(ESO)_AD176,PAT16(NDBE)_B_196
PAT20(ESO)_AD177,PAT20(ESO)_E_231
PAT20(ESO)_AD178,PAT20(ESO)_E_319
PAT20(ESO)_AD184,PAT20(CARD)_F_10
PAT20(ESO)_AD189,PAT20(CARD)_F_268
PAT20(ESO)_AD190,PAT20(ESO)_E_97
PAT20(ESO)_AD191,PAT19(LGD)_B_137
PAT20(ESO)_AD193,PAT20(ESO)_E_84
PAT20(ESO)_AD195,PAT20(ESO)_E_285
PAT20(ESO)_AD197,PAT20(ESO)_E_136
PAT20(ESO)_AD201,PAT20(HGD1)_D_336
PAT20(ESO)_AD204,PAT19(LGD)_B_345
PAT20(ESO)_AD206,PAT19(LGD)_B_152
PAT20(ESO)_AD210,PAT20(CARD)_F_347
PAT20(ESO)_AD216,PAT20(CARD)_F_245
PAT20(ESO)_AD217,PAT20(CARD)_F_106
PAT20(ESO)_AD219,PAT9(NDBE)_J_74
PAT20(ESO)_AD220,PAT20(CARD)_F_201
PAT20(ESO)_AD222,PAT16(NDBE)_B_119
PAT20(ESO)_AD223,PAT20(CARD)_F_186
PAT20(ESO)_AD224,PAT19(LGD)_B_156
PAT20(ESO)_AD225,PAT20(CARD)_F_278
PAT20(ESO)_AD226,PAT6(HGD)_I_80
PAT20(ESO)_AD227,PAT19(LGD)_B_225
PAT20(ESO)_AD232,PAT6(LGD)_H_29
PAT20(ESO)_AD233,PAT20(ESO)_E_137
PAT20(ESO)_AD236,PAT20(ESO)_E_161
PAT20(ESO)_AD237,PAT9(NDBE)_J_358
PAT20(ESO)_AD238,PAT20(ESO)_E_216
PAT20(ESO)_AD242,PAT9(NDBE)_J_198
PAT20(ESO)_AD243,PAT6(LGD)_H_294
PAT20(ESO)_AD244,PAT6(LGD)_H_218
PAT20(ESO)_AD245,PAT20(HGD1)_D_91
PAT20(ESO)_AD249,PAT6(LGD)_H_316
PAT20(ESO)_AD254,PAT20(CARD)_F_177
PAT20(ESO)_AD255,PAT19(LGD)_B_50
PAT20(ESO)_AD256,PAT6(HGD)_I_204
PAT20(ESO)_AD257,PAT19(LGD)_B_11
PAT20(ESO)_AD258,PAT19(LGD)_B_320
PAT20(ESO)_AD262,PAT20(ESO)_E_298
PAT20(ESO)_AD263,PAT19(LGD)_B_32
PAT20(ESO)_AD265,PAT20(CARD)_F_111
PAT20(ESO)_AD266,PAT9(NDBE)_J_360
PAT20(ESO)_AD267,PAT20(ESO)_E_222
PAT20(ESO)_AD268,PAT20(ESO)_E_193
PAT20(ESO)_AD272,PAT19(LGD)_B_244
PAT20(ESO)_AD273,PAT9(NDBE)_J_64
PAT20(ESO)_AD274,PAT20(ESO)_E_62
PAT20(ESO)_AD275,PAT9(NDBE)_J_331
PAT20(ESO)_AD276,PAT20(ESO)_E_41
PAT20(ESO)_AD279,PAT20(CARD)_F_293
PAT20(ESO)_AD281,PAT9(NDBE)_J_66
PAT20(ESO)_AD282,PAT14(NDBE)_D_134
PAT20(ESO)_AD283,PAT20(ESO)_E_126
PAT20(ESO)_AD287,PAT19(LGD)_B_326
PAT20(ESO)_AD288,PAT19(LGD)_B_305
PAT20(ESO)_AD289,PAT6(HGD)_I_11
PAT20(ESO)_AD293,PAT9(NDBE)_J_210
PAT20(ESO)_AD294,PAT19(LGD)_B_226
PAT20(ESO)_AD295,PAT20(CARD)_F_182
PAT20(ESO)_AD296,PAT20(CARD)_F_309
PAT20(ESO)_AD297,PAT9(NDBE)_J_192
