,original_acc,dropped_acc
0,0.7,0.6
1,0.9,0.6
2,1.0,0.7
3,0.6,0.6
4,0.9,0.8
5,0.9,0.8
6,0.8,0.6
7,0.8,0.7
8,0.9,1.0
9,0.8,0.8
