,clone0,clone1,clone2,clone3
ENSG00000134668,2.7777777777777777,2.5714285714285716,2.823529411764706,2.25
ENSG00000171466,2.0,1.9880952380952381,2.0588235294117645,2.0
ENSG00000071553,1.0,1.0119047619047619,1.0,1.0
ENSG00000154124,2.0,2.0238095238095237,1.9411764705882353,2.25
ENSG00000259120,2.2777777777777777,2.9642857142857144,3.0,2.5
ENSG00000101109,2.0555555555555554,2.011904761904762,2.0,2.0
ENSG00000235098,1.3333333333333333,1.0357142857142858,1.0,1.0
ENSG00000105851,2.0,2.119047619047619,2.1176470588235294,2.0
ENSG00000184716,2.0,2.0238095238095237,1.9411764705882353,2.0
ENSG00000176399,3.611111111111111,4.285714285714286,6.764705882352941,4.0
ENSG00000171169,2.6666666666666665,3.011904761904762,2.9411764705882355,3.0
ENSG00000077463,2.0,1.9761904761904763,2.0588235294117645,2.0
ENSG00000203876,1.3333333333333333,1.0,1.0588235294117647,1.0
ENSG00000114735,1.3333333333333333,1.0,1.0,1.0
ENSG00000203943,1.8888888888888888,2.0,1.0,2.25
ENSG00000140612,2.0,2.011904761904762,1.9411764705882353,2.0
ENSG00000115386,2.0,2.0,1.8823529411764706,2.0
ENSG00000163749,1.3333333333333333,1.0,1.0,1.0
ENSG00000161281,1.3333333333333333,1.0,1.0,1.0
ENSG00000167261,2.0,2.011904761904762,2.0588235294117645,2.0
ENSG00000149782,2.0,1.9761904761904763,2.0,1.75
ENSG00000061337,1.3333333333333333,1.0119047619047619,1.0588235294117647,1.0
ENSG00000124444,1.3333333333333333,1.0,1.0,1.0
ENSG00000133256,1.4444444444444444,1.0119047619047619,1.8235294117647058,1.0
ENSG00000173275,1.0,1.0,1.0,1.0
ENSG00000119630,2.0,2.0,2.0,2.0
ENSG00000183978,2.0,2.0,2.0,2.0
ENSG00000174738,1.3333333333333333,1.0,1.0,1.0
ENSG00000118503,2.0,2.0,1.9411764705882353,2.25
ENSG00000153558,1.3333333333333333,0.9880952380952381,1.0,1.0
ENSG00000167037,2.5555555555555554,3.0,2.0,3.0
ENSG00000120727,2.0,2.0,2.0,2.0
ENSG00000104907,2.0,1.9880952380952381,2.0588235294117645,2.0
ENSG00000143314,2.2222222222222223,1.9880952380952381,2.588235294117647,2.25
ENSG00000249267,1.9444444444444444,1.8452380952380953,2.0,2.0
ENSG00000172071,2.0,2.011904761904762,2.0,2.0
ENSG00000111727,2.0,1.880952380952381,1.9411764705882353,2.0
ENSG00000115364,2.0,2.0,2.0,2.0
ENSG00000177674,1.3333333333333333,1.0238095238095237,1.0,1.0
ENSG00000082269,2.0,2.0,1.9411764705882353,2.25
ENSG00000213424,2.0555555555555554,29.607142857142858,29.470588235294116,49.25
ENSG00000132670,2.0555555555555554,2.0,1.9411764705882353,2.0
ENSG00000092201,2.0,2.0,2.0,2.0
ENSG00000241839,2.0,2.011904761904762,2.0,2.0
ENSG00000178988,1.4444444444444444,1.0119047619047619,1.8235294117647058,1.0
ENSG00000214046,2.0,1.9880952380952381,2.0588235294117645,2.0
ENSG00000229809,2.6666666666666665,2.9642857142857144,3.0,3.0
ENSG00000139626,1.8888888888888888,1.9285714285714286,1.0,2.0
ENSG00000143751,1.4444444444444444,1.0238095238095237,1.4705882352941178,1.0
ENSG00000167131,2.0,2.0,2.0,2.0
ENSG00000198961,2.0555555555555554,2.0,2.0588235294117645,2.0
ENSG00000109814,1.4444444444444444,1.0238095238095237,1.8235294117647058,1.0
ENSG00000178997,2.0,2.0238095238095237,2.0,2.0
ENSG00000125753,1.3333333333333333,1.0,1.0,1.0
ENSG00000140323,2.0,2.0238095238095237,2.0,2.0
ENSG00000101391,2.0555555555555554,2.0238095238095237,2.0,2.0
ENSG00000198492,1.3333333333333333,1.0119047619047619,1.0,1.0
ENSG00000176531,1.3333333333333333,1.0,1.0,1.0
ENSG00000242516,1.3333333333333333,0.9880952380952381,1.0,1.0
ENSG00000125538,2.0,2.011904761904762,2.0,2.0
ENSG00000196968,2.0555555555555554,1.9880952380952381,2.0588235294117645,2.0
ENSG00000064601,2.0555555555555554,2.011904761904762,2.0,2.0
ENSG00000171121,2.5555555555555554,3.0,2.176470588235294,2.75
ENSG00000114395,1.3333333333333333,1.0,1.0,1.0
ENSG00000197782,1.3333333333333333,1.0,1.0,1.0
ENSG00000269900,3.3333333333333335,3.9404761904761907,4.647058823529412,3.0
ENSG00000138069,2.0,2.0,2.0,2.0
ENSG00000118046,2.0,1.9761904761904763,2.0588235294117645,2.0
ENSG00000168724,2.0,2.011904761904762,1.9411764705882353,2.25
ENSG00000103196,2.5555555555555554,3.0238095238095237,2.0588235294117645,3.0
ENSG00000188315,1.3333333333333333,1.0,1.0,1.0
ENSG00000115163,2.0,2.0,2.0,2.0
ENSG00000198729,2.0,1.9880952380952381,1.9411764705882353,2.25
ENSG00000122188,3.5,3.3333333333333335,3.176470588235294,2.75
ENSG00000100353,2.5555555555555554,3.0,2.0,3.0
ENSG00000116017,2.0,1.9761904761904763,2.0588235294117645,2.0
ENSG00000105997,2.6666666666666665,3.107142857142857,2.9411764705882355,3.25
ENSG00000152147,2.0555555555555554,2.0,1.9411764705882353,2.0
ENSG00000130159,2.0,1.9880952380952381,2.0588235294117645,2.0
ENSG00000167491,2.0,1.9880952380952381,2.0588235294117645,1.75
ENSG00000168140,1.3333333333333333,1.0,1.0,1.0
ENSG00000135632,2.0,2.0,2.0,2.0
ENSG00000103091,2.0,2.011904761904762,2.0588235294117645,2.0
ENSG00000204482,2.0,1.9880952380952381,2.0588235294117645,2.25
ENSG00000114107,1.8888888888888888,1.9880952380952381,1.1176470588235294,2.0
ENSG00000186184,10.944444444444445,17.607142857142858,4.0,18.0
ENSG00000121680,2.0,1.9880952380952381,1.9411764705882353,1.75
ENSG00000150722,2.0555555555555554,2.0357142857142856,2.0588235294117645,2.0
ENSG00000100504,2.0,2.0,2.0,2.0
ENSG00000188257,1.3333333333333333,1.0238095238095237,1.0,1.0
ENSG00000140941,2.5555555555555554,2.9285714285714284,2.0588235294117645,3.0
ENSG00000170345,2.0,2.0,2.0,2.0
ENSG00000172543,2.0,1.9761904761904763,2.0,1.75
