,clone0,clone1,clone2,clone3
ENSG00000171466,1.722943722943723,1.6923076923076923,1.5,1.0
ENSG00000071553,2.4242424242424243,2.6923076923076925,2.0,2.0
ENSG00000154124,1.1601731601731602,1.0769230769230769,1.0,1.0
ENSG00000259120,1.7142857142857142,1.1538461538461537,1.0,1.0
ENSG00000101109,5.207792207792208,6.0,5.5,6.0
ENSG00000235098,1.5757575757575757,2.0,2.0,2.0
ENSG00000184716,2.0,1.9230769230769231,2.25,2.0
ENSG00000171169,1.4935064935064934,1.0769230769230769,1.5,1.0
ENSG00000077463,1.251082251082251,1.0,1.0,1.0
ENSG00000203876,1.8831168831168832,1.6153846153846154,1.25,2.0
ENSG00000114735,1.606060606060606,1.1538461538461537,1.0,1.0
ENSG00000203943,1.2121212121212122,1.0769230769230769,1.0,1.0
ENSG00000140612,1.8917748917748918,1.9230769230769231,2.25,2.0
ENSG00000115386,2.0043290043290045,1.8461538461538463,2.25,2.0
ENSG00000167261,1.9913419913419914,2.0,1.75,2.0
ENSG00000149150,1.4242424242424243,2.076923076923077,1.75,2.0
ENSG00000124444,2.722943722943723,2.923076923076923,2.75,3.0
ENSG00000133256,1.8354978354978355,1.5384615384615385,1.25,1.0
ENSG00000149782,1.4242424242424243,2.076923076923077,1.75,2.0
ENSG00000173275,2.4285714285714284,2.6923076923076925,2.0,2.0
ENSG00000196263,2.6493506493506493,2.923076923076923,2.75,3.0
ENSG00000119630,1.2857142857142858,1.1538461538461537,1.0,1.0
ENSG00000183978,1.9437229437229437,2.0,2.0,2.0
ENSG00000174738,1.8354978354978355,2.0,1.75,2.0
ENSG00000118503,1.9264069264069263,1.9230769230769231,1.75,2.0
ENSG00000153558,1.8398268398268398,2.0,1.75,2.0
ENSG00000167037,1.2121212121212122,1.2307692307692308,1.0,1.0
ENSG00000120727,1.2121212121212122,1.0769230769230769,1.25,1.0
ENSG00000104907,2.4545454545454546,2.4615384615384617,2.25,3.0
ENSG00000140505,1.9004329004329004,1.9230769230769231,2.25,2.0
ENSG00000143314,2.0952380952380953,1.9230769230769231,2.0,2.0
ENSG00000172071,2.0086580086580086,1.9230769230769231,2.25,2.0
ENSG00000111727,2.0043290043290045,2.076923076923077,1.75,2.0
ENSG00000115364,2.0086580086580086,1.8461538461538463,2.25,2.0
ENSG00000177674,1.567099567099567,2.0,2.0,2.0
ENSG00000082269,2.5714285714285716,2.6153846153846154,2.0,3.0
ENSG00000122176,1.9696969696969697,1.9230769230769231,2.0,2.0
ENSG00000132670,1.7965367965367964,2.0,2.0,2.0
ENSG00000092201,1.277056277056277,1.0769230769230769,1.0,1.0
ENSG00000241839,1.9047619047619047,1.9230769230769231,2.25,2.0
ENSG00000178988,1.8354978354978355,1.5384615384615385,1.25,1.0
ENSG00000214046,2.6666666666666665,2.8461538461538463,2.75,3.0
ENSG00000010704,2.5627705627705626,2.6923076923076925,2.0,3.0
ENSG00000229809,1.9956709956709957,2.0,1.75,2.0
ENSG00000167131,1.722943722943723,1.1538461538461537,1.0,1.0
ENSG00000143751,1.9826839826839826,1.9230769230769231,2.0,2.0
ENSG00000198961,1.155844155844156,1.0769230769230769,1.0,1.0
ENSG00000109814,1.7662337662337662,1.5384615384615385,1.25,1.0
ENSG00000242516,1.567099567099567,1.1538461538461537,1.0,1.0
ENSG00000125753,2.727272727272727,2.923076923076923,2.75,3.0
ENSG00000140323,2.0,1.9230769230769231,2.25,2.0
ENSG00000101391,5.16017316017316,6.0,5.5,6.0
ENSG00000198492,1.2164502164502164,1.2307692307692308,1.0,1.0
ENSG00000176531,2.722943722943723,2.923076923076923,2.75,3.0
ENSG00000125538,2.012987012987013,1.9230769230769231,2.25,2.0
ENSG00000196968,1.9047619047619047,1.6153846153846154,1.25,2.0
ENSG00000064601,5.207792207792208,6.0,5.5,6.0
ENSG00000171121,1.645021645021645,1.1538461538461537,1.0,1.0
ENSG00000114395,1.606060606060606,1.1538461538461537,1.0,1.0
ENSG00000197782,2.74025974025974,2.8461538461538463,2.75,3.0
ENSG00000269900,1.6147186147186148,1.0769230769230769,1.5,1.0
ENSG00000138069,2.012987012987013,1.8461538461538463,2.25,2.0
ENSG00000118046,1.2554112554112553,1.0,1.0,1.0
ENSG00000168724,1.155844155844156,1.0769230769230769,1.0,1.0
ENSG00000103196,1.9783549783549783,2.0,1.75,2.0
ENSG00000188315,1.6103896103896105,1.1538461538461537,1.0,1.0
ENSG00000115163,2.0303030303030303,1.9230769230769231,2.25,2.0
ENSG00000198729,1.922077922077922,1.9230769230769231,1.75,2.0
ENSG00000122188,1.9696969696969697,1.9230769230769231,2.0,2.0
ENSG00000100353,1.2207792207792207,1.1538461538461537,1.0,1.0
ENSG00000116017,1.2554112554112553,1.0,1.0,1.0
ENSG00000105997,2.2554112554112553,2.0,2.25,2.0
ENSG00000152147,2.017316017316017,1.9230769230769231,2.25,2.0
ENSG00000130159,1.7316017316017316,1.6923076923076923,1.5,1.0
ENSG00000167491,2.675324675324675,2.8461538461538463,2.75,3.0
ENSG00000168140,1.9393939393939394,2.0,1.75,2.0
ENSG00000135632,2.012987012987013,1.8461538461538463,2.25,2.0
ENSG00000103091,1.9826839826839826,2.0,1.75,2.0
ENSG00000114107,1.6363636363636365,1.1538461538461537,1.0,1.0
ENSG00000186184,3.1255411255411256,3.3076923076923075,3.0,3.0
ENSG00000121680,2.722943722943723,3.230769230769231,3.0,3.0
ENSG00000270885,2.0,2.0,2.0,2.0
ENSG00000100504,1.2683982683982684,1.0769230769230769,1.0,1.0
ENSG00000188257,1.2164502164502164,1.2307692307692308,1.0,1.0
ENSG00000140941,1.9783549783549783,2.0,1.75,2.0
ENSG00000170345,1.2857142857142858,1.1538461538461537,1.0,1.0
ENSG00000068438,2.4675324675324677,2.6923076923076925,2.0,2.0
ENSG00000103260,1.9350649350649352,2.0,1.75,2.0
ENSG00000213585,1.1818181818181819,1.0769230769230769,1.0,1.0
ENSG00000059145,1.9350649350649352,2.0,1.75,2.0
ENSG00000102984,1.9826839826839826,2.0,1.75,2.0
ENSG00000079435,2.722943722943723,2.923076923076923,2.75,3.0
ENSG00000135956,2.017316017316017,1.9230769230769231,2.25,2.0
ENSG00000066697,1.6103896103896105,1.0769230769230769,1.5,1.0
