,cluster_label
0,crc11_clone0
1,crc11_clone1
2,crc11_clone2
3,crc11_clone3
4,crc04_clone0
5,crc04_clone1
6,crc04_clone2
7,crc04_clone3
8,crc10_clone0
9,crc10_clone1
10,crc10_clone2
11,crc10_clone3
