,cluster_label
0,crc11_clone0
1,crc11_clone1
2,crc11_clone2
3,crc04_clone0
4,crc04_clone1
5,crc04_clone2
6,crc04_clone3
7,crc10_clone0
8,crc10_clone1
9,crc10_clone2
10,crc10_clone3
