,CRC09_NC_201,CRC09_NC_205,CRC09_PT1_241,CRC09_PT1_243,CRC09_PT1_244,CRC09_PT1_245,CRC09_PT2_293,CRC09_PT3_459,CRC09_PT3_460,CRC09_PT3_461,CRC09_PT3_462,CRC09_PT3_463,CRC09_PT3_464,CRC09_PT3_606,CRC09_PT3_609,CRC09_PT3_610,CRC09_PT3_611,CRC09_PT4_509,CRC09_PT4_510,CRC09_PT4_511,CRC09_PT4_512,CRC09_PT4_513,CRC09_PT4_514,CRC09_PT5_560,CRC09_PT5_562
ENSG00000108854,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
ENSG00000168575,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
ENSG00000121022,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
ENSG00000114316,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2
ENSG00000163823,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2
ENSG00000183018,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000161281,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
ENSG00000139269,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
ENSG00000153922,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000164946,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ENSG00000177426,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000166851,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
ENSG00000204899,3,3,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
ENSG00000114383,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2
ENSG00000116691,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000078808,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000170037,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000109083,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
ENSG00000131467,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2
ENSG00000076864,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000100038,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000099364,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
ENSG00000196502,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
ENSG00000225880,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000134278,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000120451,3,3,4,4,4,4,4,3,3,3,4,3,4,3,4,4,3,4,3,3,3,4,4,3,3
ENSG00000162078,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
