,dat_type,accuracy,clone_0,clone_1
0,original,0.8405797101449275,95,28
1,resampled,0.6231884057971014,51,72
2,resampled,0.5362318840579711,34,89
3,resampled,0.8115942028985508,117,6
4,resampled,0.6231884057971014,49,74
5,resampled,0.7391304347826086,91,32
6,resampled,0.2898550724637681,11,112
7,resampled,0.7971014492753623,101,22
8,resampled,0.2463768115942029,6,117
9,resampled,0.463768115942029,35,88
10,resampled,0.21739130434782608,2,121
