"","CRC04_PT2_537","CRC04_LN3_337","CRC04_LN2_476","CRC04_LN2_475","CRC04_LN2_481","CRC04_PT2_555","CRC04_LN2_496","CRC04_LN2_489","CRC04_PT5_701","CRC04_LN2_486","CRC04_LN1_349","CRC04_LN2_466","CRC04_LN1_354","CRC04_LN1_374","CRC04_PT2_548","CRC04_PT5_724","CRC04_LN2_492","CRC04_NC_429","CRC04_LN2_473","CRC04_LN1_376","CRC04_LN2_479","CRC04_PT5_725","CRC04_PT5_722","CRC04_LN1_364","CRC04_PT5_706","CRC04_LN1_369","CRC04_LN1_367","CRC04_LN3_330","CRC04_PT5_703","CRC04_PT2_544","CRC04_LN1_352","CRC04_LN1_378","CRC04_LN2_470","CRC04_LN1_375","CRC04_PT2_541","CRC04_LN2_495","CRC04_LN1_353","CRC04_PT5_712","CRC04_LN2_465","CRC04_LN1_360","CRC04_LN1_350","CRC04_PT5_728","CRC04_PT2_546","CRC04_LN1_351","CRC04_LN2_484","CRC04_LN1_366","CRC04_LN2_494","CRC04_LN2_468","CRC04_LN1_356","CRC04_LN1_373","CRC04_LN2_477","CRC04_LN1_372","CRC04_PT5_726","CRC04_LN2_472","CRC04_LN2_488","CRC04_LN1_371","CRC04_LN1_368","CRC04_LN2_485","CRC04_LN2_469","CRC04_LN1_381","CRC04_PT2_538","CRC04_LN2_480","CRC04_LN1_362","CRC04_PT2_533","CRC04_PT2_559","CRC04_LN1_377","CRC04_LN1_361","CRC04_LN2_464","CRC04_PT5_717","CRC04_NC_426","CRC04_LN2_490","CRC04_LN1_380","CRC04_LN1_365","CRC04_LN1_401","CRC04_LN1_403","CRC04_LN4_451","CRC04_PT5_729","CRC04_PT5_727","CRC04_PT5_714","CRC04_LN1_358","CRC04_PT2_562","CRC04_LN1_355","CRC04_LN2_493","CRC04_LN2_474","CRC04_PT5_730","CRC04_PT5_709","CRC04_LN1_363","CRC04_PT5_716","CRC04_PT2_549","CRC04_LN2_487","CRC04_LN1_357","CRC04_PT2_540","CRC04_LN1_402"
"ENSG00000130726",0.967416571845064,0,0,0.236383408240176,0,1.09340388733044,0.967400794503018,0.219393856049635,0.108816251710653,0.676708084706641,0.701316576092839,0.407546816772108,0.394735153304863,0.110772751745108,1.10251689198436,1.28404918517538,1.01652367408999,0,0.479558203301952,0.302564105779339,0.455768776860485,0.770459688040494,0.249606076227699,0.390286269698653,1.08569387228582,0.0554672456406116,0.27765999923381,0,0.503814355839824,0,0.94466503622097,0.0680487532919188,0.306728869111251,0.595886715731646,1.35662622291304,0,0,0.339352754194271,0,0.541316107805197,0.460264153741404,0.182801053314112,1.35849152762717,1.67583497720656,0.39643928248538,1.16881220377257,0.554718845020811,0.351994620364487,0.940766344472369,0.120471775037218,0.407311577582162,0,0.120050403418024,1.00273828690845,0.846261788873534,0,0.178959784723112,0.654841614368648,1.65576438604987,0.554008993283715,1.28262869159605,0.227596489010058,0.49734258407169,0.634981606892451,1.64964256743854,0.179934679512724,0.989403809544927,1.1939731078515,0.495244053006117,0.54033421773305,0.477129164443446,0,0.222228471365329,1.03076806104965,0.818460004636843,0.505631023346576,2.16193584122354,1.02890355848291,0.264142667536404,1.46712419421187,0.461519456266638,0.189562226116942,0.421093823644078,0.807258011934948,0.057849749825768,0.235969450416214,0.885099854009396,0.170211751007632,1.21247246892782,0.257864943186272,0,0.280328671730038,0.755051417905742
"ENSG00000103490",1.25241007135081,1.27835657441611,1.25863663204098,0.999122749917449,1.88053988148847,0.617216074250374,1.51543381588886,1.80335546228568,0,1.38273136793305,1.42664851479103,0.604721690768004,1.08104864565069,1.23786601552695,0.494099874181227,1.51029481278711,0.692825571075161,1.8865819051459,1.04177660860667,1.34504855739033,1.49875142256211,0.0569701472760879,0.948945721316206,0.884001816786153,0.265102472406639,2.22061040029922,1.16857399732498,1.96374177290736,1.41090358044362,1.19877335424786,1.38150446572726,1.34245636267949,1.72225993776612,1.97448322177575,0.180344467799457,0.92663407458417,0.900693638253337,0.598628256846357,1.06210804283354,0.606562775728794,1.12897435268109,0.706297727139638,0.672733422189469,0.732310337997646,0.217737837657023,1.39404150757171,1.37770890961222,1.2683112321409,1.05336608896288,0.428786758557336,0.291982040312799,2.06754100736344,0,0.708433956033108,1.3996989623406,1.3963001952767,1.7185680987965,1.30632140406257,1.35853825069678,1.12553210232004,0.339753296400361,1.35909911910321,1.35332360721663,0,1.28873648795405,1.66813546806474,1.47139223946284,0.893420068567607,0,2.46780111417432,0.363525871774839,1.40645579218375,1.88007989578367,0.448777064644432,0.34949494866577,1.09381371131603,0.25508228107716,0.252841691471405,0,0.699596645115197,0.976023226097772,0.631943699611905,1.60065840127407,1.59698671049358,0.154227418766105,0,1.40073270442527,2.1870977904802,0.289488537727311,1.35352342344873,1.85927865000433,1.24167409833792,1.63761528531601
"ENSG00000079263",0,0,0.250865964357369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56880611906692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06855291832355,0,0,0,0,0.289488537727311,0,0,0,0
"ENSG00000126522",0,0,0.611941432499894,0.64412748865861,1.01760287068027,0.448095161665667,1.27849921315865,0.768494135377116,0.206944996247091,1.22394065418403,1.04662064024897,1.03861230815802,0.31184612843732,1.39764624676349,0.76447818908535,0.991175505094506,0,1.3330382694882,1.32997701554774,1.15651445731004,0.172720669720969,0.10031904428448,0.863035622226787,1.26037570351978,1.59154120744199,0.683597515895508,0.27765999923381,0,0.467837518872151,0.769192712981688,1.03548700747266,0.446824525336976,1.24647695017163,1.619372618683,1.45356280196152,0.375363337882547,1.19837155297571,0.339352754194271,1.17515474654854,0.73111720739548,1.21581425660436,0.182801053314112,0,1.43604606610593,1.73284285214852,1.70794838201643,0.747719144224813,0.618165636382896,1.24982014110642,0.120471775037218,1.20551430797899,2.20410698604541,0.62576953974594,0.527639691328552,0.938716449968485,1.04874819918268,1.7185680987965,1.4228988310046,1.00417630670607,0.403685079797493,0.815985507323584,1.32572012767511,0.171804812562315,1.53473683858488,0.946594744089391,0.0672646718717091,1.37317515768237,0.765506705147691,0.273549914862457,2.10433337875171,0.477129164443446,0.119939792568753,0.411463755850557,0.672640588135082,1.26243375208734,0.689550407991633,2.25881608022598,1.13450986038359,1.53708712946361,0.340162736703891,1.3869920321582,0.189562226116942,1.04737145769831,1.48830989033198,0.789832261678008,0.836180253744643,0.663190989855972,2.00639615960882,0,1.32890578070651,1.09374976416022,1.05904268103214,1.90886691917981
"ENSG00000110080",0,0,0,0,0,0,0.599568339035948,0.460015908044496,0,0.468223719516534,0.505825363242585,0.151697735253588,0,0.0569194176229178,0,0,0.889688430639076,1.20152276160829,0.068595727274472,0,0.172720669720969,0.10031904428448,0.132570803728326,0,0,0,0,0,0,0,0.0996614099790832,0,0.534365471112794,0,0,0,0.100039256438614,0,0,0.109615983641651,0.531446137209339,0,0,0.133132884872012,0,0,0,0,0,0,0,0,0,0,0.510100486433629,0,0.462423686734639,0.482710483018913,0.324311887949709,0,0,0.562536399932409,0.326860079890143,0,0,0.775297767762136,0.506260647431083,0.257265644353493,0,0,0,0,0,0.0561869785837233,0,0,0,0.602718135775789,0,0.644843139500746,0.0896919171623077,0.0453387833867001,0.0890078931955612,0.132706321600392,0,0,0,1.41858129838369,0,0,0.200409474091483,0.280328671730038,0.163870035023302
"ENSG00000204117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274325452621278,0,0,0,0,0,0,0,0,0.0673601601223516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278311",1.11814282597892,0,0.250865964357369,0.0886986053982204,0.629902749451841,0.617216074250374,0,0.83654692148911,0,0.796694046395681,0.505825363242585,0.978884331931389,1.08104864565069,0.309788756568956,0.55705591810763,0.568695355144532,0.439921651762488,0,0.12237021500849,0.841169636988959,0.568671597019245,0.0569701472760879,0.583049081713795,0,0.265102472406639,0.0554672456406116,0.487748203059421,1.11250871729107,0,0.21021564280994,0.0455242152035586,1.09699842648977,0.534365471112794,1.05963168683479,0,0,1.12142171303014,0,0.532921824140001,0.785384317164971,0.768855172644876,0,0,0.845474812862139,0,1.54855960630466,0,0.191405536561476,0,0.120471775037218,0,0,0,0.298223948355284,0.153891762566854,0.610128585204274,1.1886068337976,0.572475126184189,0.457691981865491,0.0452252199579604,0.925529470571144,0.486940174249025,0.79678587015301,0.0881523861316892,0.874520045096011,0.120056569031283,0.74310519520481,1.49296042521484,1.26420842439724,0.54033421773305,0,0,0.222228471365329,0.611836021864949,0.34949494866577,0,0.782295326273717,0.737539320837986,0,0.184476003351548,1.64171679719778,0.0992661336099203,0,0.202694369761565,1.22555435618099,0,0.284683807878494,0,1.857334677871,0.527226642686619,0,0,0.8856210228849
"ENSG00000232860",0,0,0,0,0,0,0,0.309058089646313,0,0,0.0561443174549807,0,0,0,0,0,0,0,0.295041324533651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47493200704421,0,0,0,0,0,0,0.0463751220987521,0,0.90620298595372,0,0,0,0,0,0,0,0,0.428363247642175,0,0,0,0,0,0,0,0,0,0.297467387974118,0,0,0,0,0,0.0451134454134355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899617997464733,0,0,0.979041851124191
"ENSG00000120709",0,0,0,0,0,0.448095161665667,0.289286143106078,0.0567677049684219,0,0.112820462861201,0.0561443174549807,0.283385462743841,0.740905141015165,0.0569194176229178,0,0.140519241019176,0,0,0.387541634722573,0,0,0.0569701472760879,0.695211198881105,0.15101653385818,0,0,0,0,0.121035565583641,0,0.443990815952983,0.220308518436508,0,0,0,0,0.0677921623028355,0,0,0.0563091984470837,0.0231105805431029,0,0,0.0463751220987521,0.39643928248538,0.781419611187424,0,0,0,0,0.510704951142253,0,0,0,0.0350288286791,0,0.578796702298635,0.343404005591698,0,0.099024014773276,0,0,0,0,0,0,1.10696395479103,0,0.273549914862457,0,0.0451134454134355,0,0,0.751996927812178,0.34949494866577,0,0,0.399750360350795,0,0.0910607886674679,0,0,0,0.549984065404028,0.340022598121067,0,0.0346783001487504,0.170211751007632,1.21247246892782,1.24443633457543,0,0,0
"ENSG00000044090",0,0,0,0,0,0,0,0.190848190262506,0,0.12343284894054,0,0.283385462743841,0,0,0,0,0,0,0,0,0,0.368485703331331,0,0,0,0,0,0,0,1.19877335424786,0,0,0,0,0.0889282917454908,0,0,0,0.109207727630508,0,0,0,0,0,0,0,0,0,0,0,0.151598822225455,0,0,0,0,0.409924510130516,0,0.0457638959215837,0,0,0.260439918448426,0.120259337508169,0,0,0,0,0.0353184788529516,0,0,0,0,0,0,0,0.34949494866577,0,0,0.113209411105362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
