,clone0,clone1,clone2,clone3
ENSG00000134668,0.9711803975484009,0.7030365734406315,1.0986122886681093,0.6931471805599453
ENSG00000171466,1.0952470590779273,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000071553,1.1329792684094275,1.3020947301583925,1.0986122886681093,0.9972460116410685
ENSG00000154124,1.0986122886681096,0.6931471805599446,1.0986122886681093,0.6931471805599453
ENSG00000259120,1.1068317764524462,1.1056289245815674,1.0986122886681093,1.1705328067810548
ENSG00000101109,1.7909545870290062,1.5970257779717594,1.0986122886681093,1.7461790800295665
ENSG00000235098,0.6931471805599447,0.6931471805599446,1.0986122886681093,0.6931471805599453
ENSG00000105851,0.7626554848070588,1.3441945456391409,1.0986122886681093,1.0986122886681096
ENSG00000171169,0.7858249195560968,1.0887228957874224,1.0986122886681093,0.6931471805599453
ENSG00000077463,1.0870275712935906,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000203876,1.0870275712935906,1.365244453379515,1.0986122886681093,1.242453324894
ENSG00000114735,0.9909846027072561,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000203943,0.9248415280503248,1.0986122886681093,1.0986122886681093,0.7945134575869863
ENSG00000140612,0.75107076743254,1.0858501388201935,1.0986122886681093,0.7945134575869863
ENSG00000115386,1.0687123947387072,1.0928667747336516,1.0986122886681093,1.271899083808096
ENSG00000161281,1.0986122886681096,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000167261,0.8437485064286918,1.1238060753547126,1.0986122886681093,1.0986122886681096
ENSG00000149150,1.0986122886681096,1.3371779097256828,1.0986122886681093,0.8958797346140275
ENSG00000061337,0.4951051289713894,0.6931471805599446,1.0986122886681093,0.17328679513998632
ENSG00000124444,1.0986122886681096,1.0986122886681093,1.0986122886681093,0.7945134575869863
ENSG00000133256,0.8900873759267679,1.0887228957874224,1.0986122886681093,0.6931471805599453
ENSG00000149782,1.0986122886681096,1.3480629610093031,1.0986122886681093,0.8958797346140275
ENSG00000173275,1.113175063250572,1.2992219731911638,1.0986122886681093,0.9972460116410685
ENSG00000196263,1.0870275712935906,1.0887228957874224,1.0986122886681093,0.7945134575869863
ENSG00000119630,1.0754428539190717,1.1056289245815674,1.0986122886681093,1.0986122886681096
ENSG00000183978,1.0986122886681096,1.1056289245815674,1.0986122886681093,1.1705328067810548
ENSG00000174738,0.9827651149229195,1.0887228957874224,1.0986122886681093,1.0986122886681096
ENSG00000118503,1.0986122886681096,1.0788335029067355,1.0986122886681093,1.0986122886681096
ENSG00000153558,0.9827651149229195,1.0887228957874224,1.0986122886681093,1.0986122886681096
ENSG00000167037,0.8900873759267676,1.0957395317008805,1.0986122886681093,1.0986122886681096
ENSG00000120727,1.1232707520211194,1.0855471505275456,1.0986122886681093,1.2263186946096072
ENSG00000104907,1.0870275712935906,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000140505,0.7858249195560971,1.0957395317008805,1.0986122886681093,0.7945134575869863
ENSG00000143314,1.0754428539190715,1.0986122886681093,1.0986122886681093,0.6931471805599453
ENSG00000172071,0.7742402021815776,1.1027561676143385,1.0986122886681093,0.6931471805599453
ENSG00000111727,0.7742402021815779,1.0887228957874224,1.0986122886681093,0.9972460116410685
ENSG00000249267,0.8205790716796536,1.0590547171453617,1.0986122886681093,0.9972460116410685
ENSG00000115364,1.091881829487745,1.1027561676143385,1.0986122886681093,1.271899083808096
ENSG00000177674,0.8321637890541727,1.0194971456226143,1.0986122886681093,0.6931471805599453
ENSG00000082269,1.0986122886681096,1.0887228957874224,1.0986122886681093,1.0986122886681096
ENSG00000122176,1.0754428539190715,1.0887228957874224,1.0986122886681093,0.6931471805599453
ENSG00000132670,0.6931471805599447,1.0986122886681093,1.0986122886681093,0.6931471805599453
ENSG00000092201,1.0638581365445527,1.1056289245815674,1.0986122886681093,1.0986122886681096
ENSG00000241839,0.7858249195560971,1.0957395317008805,1.0986122886681093,0.7945134575869863
ENSG00000178988,0.8900873759267679,1.0788335029067355,1.0986122886681093,0.6931471805599453
ENSG00000214046,1.0870275712935906,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000010704,1.0986122886681096,1.0788335029067355,1.0986122886681093,0.9972460116410685
ENSG00000229809,0.9293408571016627,1.0986122886681093,1.0986122886681093,1.242453324894
ENSG00000139626,0.7858249195560969,1.0887228957874224,1.0986122886681093,1.0986122886681096
ENSG00000143751,1.0754428539190715,1.0887228957874224,1.0986122886681093,0.6931471805599453
ENSG00000167131,1.0986122886681096,1.1056289245815674,1.0986122886681093,1.1705328067810548
ENSG00000198961,1.1068317764524462,0.7496107808768375,1.0986122886681093,1.2263186946096072
ENSG00000109814,0.7858249195560969,1.0887228957874224,1.0986122886681093,0.6931471805599453
ENSG00000178997,0.762655484807059,1.0957395317008805,1.0986122886681093,0.7945134575869863
ENSG00000125753,1.0986122886681096,1.0986122886681093,1.0986122886681093,0.7945134575869863
ENSG00000140323,0.762655484807059,1.0957395317008805,1.0986122886681093,0.7945134575869863
ENSG00000101391,1.795358892166928,1.5609194152849557,1.0986122886681093,1.868834809141684
ENSG00000198492,0.9711803975484009,0.7030365734406315,1.0986122886681093,0.6931471805599453
ENSG00000176531,1.0986122886681096,1.0986122886681093,1.0986122886681093,0.7945134575869863
ENSG00000242516,0.9827651149229197,1.0887228957874224,1.0986122886681093,1.0986122886681096
ENSG00000125538,1.1460852576273413,1.0928667747336516,1.0986122886681093,1.4157401200339863
ENSG00000196968,0.6931471805599447,1.1448559830950868,1.0986122886681093,0.6931471805599453
ENSG00000064601,1.7997631973048496,1.6341277990614966,1.0986122886681093,1.7461790800295665
ENSG00000171121,0.9330610158346614,1.3091113660718507,1.0986122886681093,1.0986122886681096
ENSG00000114395,0.9909846027072561,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000197782,1.0986122886681096,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000269900,0.75107076743254,1.0887228957874224,1.0986122886681093,0.7945134575869863
ENSG00000138069,1.0836623417034081,1.1027561676143385,1.0986122886681093,1.271899083808096
ENSG00000118046,1.0870275712935906,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000168724,1.1068317764524462,1.0871212607991938,1.0986122886681093,1.0986122886681096
ENSG00000103196,0.8437485064286918,1.06607135305882,1.0986122886681093,1.0986122886681096
ENSG00000188315,0.9909846027072561,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000115163,1.0754428539190717,1.1027561676143385,1.0986122886681093,1.4157401200339863
ENSG00000198729,1.0986122886681096,1.0788335029067355,1.0986122886681093,1.0986122886681096
ENSG00000122188,1.0754428539190715,1.0887228957874224,1.0986122886681093,0.6931471805599453
ENSG00000100353,0.8785026585522484,1.0957395317008805,1.0986122886681093,1.0986122886681096
ENSG00000116017,1.0870275712935906,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000105997,1.587978636920297,1.3917368867616993,1.0986122886681093,1.6094379124341003
ENSG00000152147,1.0754428539190717,1.1027561676143385,1.0986122886681093,1.4157401200339863
ENSG00000232132,1.2693775743923899,1.1126455604950254,1.0986122886681093,1.1705328067810548
ENSG00000130159,1.0952470590779273,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000167491,1.0986122886681096,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000168140,1.0986122886681096,1.0986122886681093,1.0986122886681093,1.3862943611198906
ENSG00000135632,1.091881829487745,1.1027561676143385,1.0986122886681093,1.271899083808096
ENSG00000103091,0.8437485064286918,1.0957395317008805,1.0986122886681093,1.0986122886681096
ENSG00000188389,0.8934526055169503,1.0928667747336516,1.0986122886681093,0.6931471805599453
ENSG00000204482,1.0986122886681096,1.0788335029067355,1.0986122886681093,0.9972460116410685
ENSG00000114107,0.9248415280503248,1.0986122886681093,1.0986122886681093,1.0986122886681096
ENSG00000186184,1.2775970621767267,1.1056289245815674,1.0986122886681093,1.4817315064926027
ENSG00000121680,1.1150512642367827,1.337177909725683,1.0986122886681093,0.8958797346140275
ENSG00000174945,1.582769449583327,1.372261089292973,1.0986122886681093,1.4978661367769954
ENSG00000100504,1.0754428539190717,1.1056289245815674,1.0986122886681093,1.0986122886681096
ENSG00000188257,0.8553332238032108,1.0096077527419272,1.0986122886681093,0.6931471805599453
ENSG00000140941,0.8437485064286918,1.06607135305882,1.0986122886681093,1.0986122886681096
ENSG00000170345,1.0754428539190717,1.1056289245815674,1.0986122886681093,1.0986122886681096
ENSG00000172543,1.0986122886681096,1.3535054866511131,1.0986122886681093,0.8958797346140275
ENSG00000068438,1.2200606476863705,1.3231446378987668,1.0986122886681093,0.9972460116410685
