,cell,original_clone,agg_clone
324,CRC04_PT5_702,1,crc04_clone1
325,CRC04_PT5_703,1,crc04_clone1
326,CRC04_PT5_709,1,crc04_clone1
327,CRC04_PT5_711,1,crc04_clone1
328,CRC04_PT5_712,1,crc04_clone1
329,CRC04_PT5_714,1,crc04_clone1
330,CRC04_PT5_716,1,crc04_clone1
331,CRC04_PT5_717,1,crc04_clone1
332,CRC04_PT5_720,1,crc04_clone1
333,CRC04_PT5_721,1,crc04_clone1
334,CRC04_PT5_722,1,crc04_clone1
335,CRC04_PT5_724,1,crc04_clone1
336,CRC04_PT5_725,1,crc04_clone1
337,CRC04_PT5_726,1,crc04_clone1
338,CRC04_PT5_728,1,crc04_clone1
339,CRC04_PT5_729,1,crc04_clone1
340,CRC04_PT5_730,1,crc04_clone1
341,CRC04_PT5_731,1,crc04_clone1
342,CRC10_LN1_003,2,crc10_clone2
343,CRC10_LN1_004,0,crc10_clone0
344,CRC10_LN1_005,2,crc10_clone2
345,CRC10_LN1_006,2,crc10_clone2
346,CRC10_LN1_007,2,crc10_clone2
347,CRC10_LN1_008,2,crc10_clone2
348,CRC10_LN1_010,2,crc10_clone2
349,CRC10_LN1_011,2,crc10_clone2
350,CRC10_LN1_012,1,crc10_clone1
351,CRC10_LN1_013,0,crc10_clone0
352,CRC10_LN1_014,1,crc10_clone1
353,CRC10_LN1_015,0,crc10_clone0
354,CRC10_LN1_016,0,crc10_clone0
355,CRC10_LN1_017,2,crc10_clone2
356,CRC10_LN1_018,2,crc10_clone2
357,CRC10_LN1_019,0,crc10_clone0
358,CRC10_LN1_020,0,crc10_clone0
359,CRC10_LN1_021,2,crc10_clone2
360,CRC10_LN1_022,0,crc10_clone0
361,CRC10_LN1_023,2,crc10_clone2
362,CRC10_LN1_024,2,crc10_clone2
363,CRC10_LN1_025,0,crc10_clone0
364,CRC10_LN1_026,0,crc10_clone0
365,CRC10_LN1_028,2,crc10_clone2
366,CRC10_LN1_029,2,crc10_clone2
367,CRC10_LN1_030,1,crc10_clone1
368,CRC10_LN1_031,0,crc10_clone0
369,CRC10_LN1_032,2,crc10_clone2
370,CRC10_LN1_033,1,crc10_clone1
371,CRC10_LN1_035,0,crc10_clone0
372,CRC10_LN1_037,0,crc10_clone0
373,CRC10_LN1_038,0,crc10_clone0
374,CRC10_LN1_039,0,crc10_clone0
375,CRC10_LN1_041,1,crc10_clone1
376,CRC10_LN1_042,2,crc10_clone2
377,CRC10_LN1_043,1,crc10_clone1
378,CRC10_LN1_044,0,crc10_clone0
