,dat_type,accuracy,clone_0,clone_1
0,original,0.8421052631578947,39,54
1,resampled,0.8771929824561403,42,51
2,resampled,0.5964912280701754,13,80
3,resampled,0.631578947368421,89,4
4,resampled,0.8070175438596491,39,54
5,resampled,0.9298245614035088,68,25
6,resampled,0.543859649122807,8,85
7,resampled,0.7894736842105263,76,17
8,resampled,0.47368421052631576,4,89
9,resampled,0.7192982456140351,26,67
10,resampled,0.43859649122807015,1,92
