,dat_type,accuracy,clone_0,clone_1,clone_2,clone_3
0,original,0.9482758620689655,104,18,103,24
1,resampled,0.5632183908045977,55,81,49,64
2,resampled,0.367816091954023,64,144,0,41
3,resampled,0.8160919540229885,78,2,103,66
4,resampled,0.42528735632183906,52,106,22,69
5,resampled,0.896551724137931,93,31,95,30
6,resampled,0.14367816091954022,12,110,8,119
7,resampled,0.9367816091954023,132,22,93,2
8,resampled,0.28735632183908044,11,114,37,87
9,resampled,0.7011494252873564,67,96,63,23
10,resampled,0.4367816091954023,0,114,115,20
