,original_acc,dropped_acc
0,0.9,0.9
1,1.0,1.0
2,0.9,0.8
3,0.9,0.9
4,0.8,0.8
5,1.0,1.0
6,0.9,0.8
7,1.0,0.9
8,1.0,0.9
9,0.9,0.8
