,dat_type,accuracy,clone_0,clone_1
0,original,0.9252873563218391,218,31
1,resampled,0.5804597701149425,98,151
2,resampled,0.42528735632183906,70,179
3,resampled,0.9022988505747126,238,11
4,resampled,0.5862068965517241,98,151
5,resampled,0.8620689655172413,199,50
6,resampled,0.25862068965517243,23,226
7,resampled,0.9310344827586207,214,35
8,resampled,0.1896551724137931,12,237
9,resampled,0.5977011494252874,105,144
10,resampled,0.14942528735632185,3,246
