,original_acc,dropped_acc
0,1.0,1.0
1,1.0,0.9
2,0.8,0.8
3,0.8,0.5
4,0.9,0.9
5,1.0,1.0
6,1.0,0.8
7,0.8,0.8
8,0.8,0.7
9,1.0,0.9
