,dat_type,accuracy,clone_0,clone_1,clone_2
0,original,0.8695652173913043,78,20,25
1,resampled,0.6956521739130435,35,59,29
2,resampled,0.4927536231884058,41,82,0
3,resampled,0.7971014492753623,55,1,67
4,resampled,0.782608695652174,45,62,16
5,resampled,0.782608695652174,49,6,68
6,resampled,0.4492753623188406,17,95,11
7,resampled,0.8985507246376812,63,12,48
8,resampled,0.4492753623188406,6,88,29
9,resampled,0.7101449275362319,31,61,31
10,resampled,0.37681159420289856,0,61,62
