,original_acc,dropped_acc
0,0.9,0.9
1,0.6,0.5
2,0.6,0.6
3,0.7,0.7
4,0.9,0.9
5,0.7,0.6
6,0.9,0.9
7,0.7,0.6
8,0.7,0.7
9,0.9,0.8
