"","predict","cell"
"CRC11_PT4_735","3","CRC11_PT4_735"
"CRC11_PT1_431","3","CRC11_PT1_431"
"CRC11_LN1_310","3","CRC11_LN1_310"
"CRC11_PT1_442","3","CRC11_PT1_442"
"CRC11_LN1_336","3","CRC11_LN1_336"
"CRC11_LN1_340","3","CRC11_LN1_340"
"CRC11_LN1_332","3","CRC11_LN1_332"
"CRC11_LN1_370","3","CRC11_LN1_370"
"CRC11_PT1_446","3","CRC11_PT1_446"
"CRC11_LN1_361","3","CRC11_LN1_361"
"CRC11_LN1_315","3","CRC11_LN1_315"
"CRC11_LN1_386","3","CRC11_LN1_386"
"CRC11_PT1_466","3","CRC11_PT1_466"
"CRC11_LN1_333","3","CRC11_LN1_333"
"CRC11_LN1_329","3","CRC11_LN1_329"
"CRC11_PT1_450","3","CRC11_PT1_450"
"CRC11_LN1_358","3","CRC11_LN1_358"
"CRC11_PT4_733","3","CRC11_PT4_733"
"CRC11_PT1_433","3","CRC11_PT1_433"
"CRC11_PT4_737","3","CRC11_PT4_737"
"CRC11_PT1_425","3","CRC11_PT1_425"
"CRC11_LN1_318","3","CRC11_LN1_318"
"CRC11_LN1_384","3","CRC11_LN1_384"
"CRC11_LN1_385","3","CRC11_LN1_385"
"CRC11_LN1_334","3","CRC11_LN1_334"
"CRC11_LN1_381","3","CRC11_LN1_381"
"CRC11_PT1_534","3","CRC11_PT1_534"
"CRC11_PT3_752","3","CRC11_PT3_752"
"CRC11_PT4_702","3","CRC11_PT4_702"
"CRC11_PT3_790","3","CRC11_PT3_790"
"CRC11_PT1_440","3","CRC11_PT1_440"
"CRC11_LN1_364","3","CRC11_LN1_364"
"CRC11_PT4_707","3","CRC11_PT4_707"
"CRC11_PT1_463","3","CRC11_PT1_463"
"CRC11_PT4_717","3","CRC11_PT4_717"
"CRC11_LN1_369","3","CRC11_LN1_369"
"CRC11_PT4_709","3","CRC11_PT4_709"
"CRC11_LN1_330","3","CRC11_LN1_330"
"CRC11_LN1_373","3","CRC11_LN1_373"
"CRC11_PT4_723","3","CRC11_PT4_723"
"CRC11_PT4_745","3","CRC11_PT4_745"
"CRC11_PT2_504","3","CRC11_PT2_504"
"CRC11_LN1_338","3","CRC11_LN1_338"
"CRC11_PT3_764","3","CRC11_PT3_764"
"CRC11_PT4_711","3","CRC11_PT4_711"
"CRC11_PT1_443","3","CRC11_PT1_443"
"CRC11_LN1_345","3","CRC11_LN1_345"
"CRC11_PT1_448","3","CRC11_PT1_448"
"CRC11_LN1_357","3","CRC11_LN1_357"
"CRC11_PT3_760","3","CRC11_PT3_760"
"CRC11_LN1_355","3","CRC11_LN1_355"
"CRC11_PT4_722","3","CRC11_PT4_722"
"CRC11_PT3_792","3","CRC11_PT3_792"
"CRC11_LN1_372","3","CRC11_LN1_372"
"CRC11_PT4_706","3","CRC11_PT4_706"
"CRC11_PT2_496","3","CRC11_PT2_496"
"CRC11_LN1_366","3","CRC11_LN1_366"
"CRC11_LN1_377","3","CRC11_LN1_377"
"CRC11_LN1_313","3","CRC11_LN1_313"
"CRC11_PT1_458","3","CRC11_PT1_458"
"CRC11_PT1_439","3","CRC11_PT1_439"
"CRC11_PT3_773","3","CRC11_PT3_773"
"CRC11_PT2_486","3","CRC11_PT2_486"
"CRC11_LN1_316","3","CRC11_LN1_316"
"CRC11_PT1_436","3","CRC11_PT1_436"
"CRC11_PT1_451","3","CRC11_PT1_451"
"CRC11_PT1_472","3","CRC11_PT1_472"
"CRC11_LN1_335","3","CRC11_LN1_335"
"CRC11_PT3_763","3","CRC11_PT3_763"
"CRC11_PT4_704","3","CRC11_PT4_704"
