,rna_clone,rna_number,dna_clone,dna_number,dna_all_number,expected_random_number,setting
5,crc10_clone1,14,crc10_clone0,95,123,10.8,intNMF_untransformed_None
6,crc10_clone0,55,crc10_clone1,28,123,12.5,intNMF_untransformed_None
7,crc10_clone1,14,crc10_clone1,28,123,3.2,intNMF_untransformed_None
8,crc11_clone0,151,crc11_clone0,218,249,132.2,intNMF_untransformed_None
9,crc11_clone1,23,crc11_clone0,218,249,20.1,intNMF_untransformed_None
10,crc11_clone0,151,crc11_clone1,31,249,18.8,intNMF_untransformed_None
11,crc11_clone1,23,crc11_clone1,31,249,2.9,intNMF_untransformed_None
0,crc04_clone0,33,crc04_clone0,39,93,13.8,intNMF_log_None
1,crc04_clone1,24,crc04_clone0,39,93,10.1,intNMF_log_None
2,crc04_clone0,33,crc04_clone1,54,93,19.2,intNMF_log_None
3,crc04_clone1,24,crc04_clone1,54,93,13.9,intNMF_log_None
4,crc10_clone0,43,crc10_clone0,78,123,27.3,intNMF_log_None
5,crc10_clone1,11,crc10_clone0,78,123,7.0,intNMF_log_None
6,crc10_clone2,15,crc10_clone0,78,123,9.5,intNMF_log_None
7,crc10_clone0,43,crc10_clone1,20,123,7.0,intNMF_log_None
8,crc10_clone1,11,crc10_clone1,20,123,1.8,intNMF_log_None
9,crc10_clone2,15,crc10_clone1,20,123,2.4,intNMF_log_None
10,crc10_clone0,43,crc10_clone2,25,123,8.7,intNMF_log_None
11,crc10_clone1,11,crc10_clone2,25,123,2.2,intNMF_log_None
12,crc10_clone2,15,crc10_clone2,25,123,3.0,intNMF_log_None
13,crc11_clone0,97,crc11_clone0,119,249,46.4,intNMF_log_None
14,crc11_clone1,14,crc11_clone0,119,249,6.7,intNMF_log_None
15,crc11_clone2,63,crc11_clone0,119,249,30.1,intNMF_log_None
16,crc11_clone0,97,crc11_clone1,43,249,16.8,intNMF_log_None
17,crc11_clone1,14,crc11_clone1,43,249,2.4,intNMF_log_None
18,crc11_clone2,63,crc11_clone1,43,249,10.9,intNMF_log_None
19,crc11_clone0,97,crc11_clone2,87,249,33.9,intNMF_log_None
20,crc11_clone1,14,crc11_clone2,87,249,4.9,intNMF_log_None
21,crc11_clone2,63,crc11_clone2,87,249,22.0,intNMF_log_None
