"","predict","cell"
"CRC04_PT2_537","2","CRC04_PT2_537"
"CRC04_LN3_337","2","CRC04_LN3_337"
"CRC04_LN2_476","2","CRC04_LN2_476"
"CRC04_LN2_475","2","CRC04_LN2_475"
"CRC04_LN2_481","2","CRC04_LN2_481"
"CRC04_PT2_555","2","CRC04_PT2_555"
"CRC04_LN2_496","2","CRC04_LN2_496"
"CRC04_LN2_489","2","CRC04_LN2_489"
"CRC04_PT5_701","2","CRC04_PT5_701"
"CRC04_LN2_486","2","CRC04_LN2_486"
"CRC04_LN1_349","2","CRC04_LN1_349"
"CRC04_LN2_466","2","CRC04_LN2_466"
"CRC04_LN1_354","2","CRC04_LN1_354"
"CRC04_LN1_374","2","CRC04_LN1_374"
"CRC04_PT2_548","2","CRC04_PT2_548"
"CRC04_PT5_724","2","CRC04_PT5_724"
"CRC04_LN2_492","2","CRC04_LN2_492"
"CRC04_NC_429","2","CRC04_NC_429"
"CRC04_LN2_473","2","CRC04_LN2_473"
"CRC04_LN1_376","2","CRC04_LN1_376"
"CRC04_LN2_479","2","CRC04_LN2_479"
"CRC04_PT5_725","2","CRC04_PT5_725"
"CRC04_PT5_722","2","CRC04_PT5_722"
"CRC04_LN1_364","2","CRC04_LN1_364"
"CRC04_PT5_706","2","CRC04_PT5_706"
"CRC04_LN1_369","2","CRC04_LN1_369"
"CRC04_LN1_367","2","CRC04_LN1_367"
"CRC04_LN3_330","2","CRC04_LN3_330"
"CRC04_PT5_703","2","CRC04_PT5_703"
"CRC04_PT2_544","2","CRC04_PT2_544"
"CRC04_LN1_352","2","CRC04_LN1_352"
"CRC04_LN1_378","2","CRC04_LN1_378"
"CRC04_LN2_470","2","CRC04_LN2_470"
"CRC04_LN1_375","2","CRC04_LN1_375"
"CRC04_PT2_541","2","CRC04_PT2_541"
"CRC04_LN2_495","2","CRC04_LN2_495"
"CRC04_LN1_353","2","CRC04_LN1_353"
"CRC04_PT5_712","2","CRC04_PT5_712"
"CRC04_LN2_465","2","CRC04_LN2_465"
"CRC04_LN1_360","2","CRC04_LN1_360"
"CRC04_LN1_350","2","CRC04_LN1_350"
"CRC04_PT5_728","2","CRC04_PT5_728"
"CRC04_PT2_546","2","CRC04_PT2_546"
"CRC04_LN1_351","2","CRC04_LN1_351"
"CRC04_LN2_484","2","CRC04_LN2_484"
"CRC04_LN1_366","2","CRC04_LN1_366"
"CRC04_LN2_494","2","CRC04_LN2_494"
"CRC04_LN2_468","2","CRC04_LN2_468"
"CRC04_LN1_356","2","CRC04_LN1_356"
"CRC04_LN1_373","2","CRC04_LN1_373"
"CRC04_LN2_477","2","CRC04_LN2_477"
"CRC04_LN1_372","2","CRC04_LN1_372"
"CRC04_PT5_726","2","CRC04_PT5_726"
"CRC04_LN2_472","2","CRC04_LN2_472"
"CRC04_LN2_488","2","CRC04_LN2_488"
"CRC04_LN1_371","2","CRC04_LN1_371"
"CRC04_LN1_368","2","CRC04_LN1_368"
"CRC04_LN2_485","2","CRC04_LN2_485"
"CRC04_LN2_469","2","CRC04_LN2_469"
"CRC04_LN1_381","2","CRC04_LN1_381"
"CRC04_PT2_538","2","CRC04_PT2_538"
"CRC04_LN2_480","2","CRC04_LN2_480"
"CRC04_LN1_362","2","CRC04_LN1_362"
"CRC04_PT2_533","2","CRC04_PT2_533"
"CRC04_PT2_559","2","CRC04_PT2_559"
"CRC04_LN1_377","2","CRC04_LN1_377"
"CRC04_LN1_361","2","CRC04_LN1_361"
"CRC04_LN2_464","2","CRC04_LN2_464"
"CRC04_PT5_717","2","CRC04_PT5_717"
"CRC04_NC_426","2","CRC04_NC_426"
"CRC04_LN2_490","2","CRC04_LN2_490"
"CRC04_LN1_380","2","CRC04_LN1_380"
"CRC04_LN1_365","2","CRC04_LN1_365"
"CRC04_LN1_401","2","CRC04_LN1_401"
"CRC04_LN1_403","2","CRC04_LN1_403"
"CRC04_LN4_451","2","CRC04_LN4_451"
"CRC04_PT5_729","2","CRC04_PT5_729"
"CRC04_PT5_727","2","CRC04_PT5_727"
"CRC04_PT5_714","2","CRC04_PT5_714"
"CRC04_LN1_358","2","CRC04_LN1_358"
"CRC04_PT2_562","2","CRC04_PT2_562"
"CRC04_LN1_355","2","CRC04_LN1_355"
"CRC04_LN2_493","2","CRC04_LN2_493"
"CRC04_LN2_474","2","CRC04_LN2_474"
"CRC04_PT5_730","2","CRC04_PT5_730"
"CRC04_PT5_709","2","CRC04_PT5_709"
"CRC04_LN1_363","2","CRC04_LN1_363"
"CRC04_PT5_716","2","CRC04_PT5_716"
"CRC04_PT2_549","2","CRC04_PT2_549"
"CRC04_LN2_487","2","CRC04_LN2_487"
"CRC04_LN1_357","2","CRC04_LN1_357"
"CRC04_PT2_540","2","CRC04_PT2_540"
"CRC04_LN1_402","2","CRC04_LN1_402"
