"","predict","cell"
"CRC11_PT4_712","1","CRC11_PT4_712"
"CRC11_PT4_736","1","CRC11_PT4_736"
"CRC11_PT1_457","1","CRC11_PT1_457"
"CRC11_LN1_320","1","CRC11_LN1_320"
"CRC11_PT1_435","1","CRC11_PT1_435"
"CRC11_PT4_714","1","CRC11_PT4_714"
"CRC11_PT4_741","1","CRC11_PT4_741"
"CRC11_LN1_388","1","CRC11_LN1_388"
"CRC11_PT1_453","1","CRC11_PT1_453"
"CRC11_LN1_321","1","CRC11_LN1_321"
"CRC11_PT4_747","1","CRC11_PT4_747"
"CRC11_PT1_467","1","CRC11_PT1_467"
"CRC11_PT1_447","1","CRC11_PT1_447"
"CRC11_LN1_363","1","CRC11_LN1_363"
"CRC11_PT3_794","1","CRC11_PT3_794"
"CRC11_LN1_301","1","CRC11_LN1_301"
"CRC11_PT4_701","1","CRC11_PT4_701"
"CRC11_PT1_449","1","CRC11_PT1_449"
"CRC11_PT1_438","1","CRC11_PT1_438"
"CRC11_PT1_452","1","CRC11_PT1_452"
"CRC11_LN1_342","1","CRC11_LN1_342"
"CRC11_LN1_344","1","CRC11_LN1_344"
"CRC11_LN1_323","1","CRC11_LN1_323"
"CRC11_LN1_375","1","CRC11_LN1_375"
"CRC11_PT4_724","1","CRC11_PT4_724"
"CRC11_PT2_525","1","CRC11_PT2_525"
"CRC11_LN1_337","1","CRC11_LN1_337"
"CRC11_LN1_350","1","CRC11_LN1_350"
"CRC11_PT3_795","1","CRC11_PT3_795"
"CRC11_PT3_770","1","CRC11_PT3_770"
"CRC11_PT1_461","1","CRC11_PT1_461"
"CRC11_PT3_757","1","CRC11_PT3_757"
"CRC11_LN1_387","1","CRC11_LN1_387"
"CRC11_PT1_459","1","CRC11_PT1_459"
"CRC11_PT4_744","1","CRC11_PT4_744"
"CRC11_LN1_347","1","CRC11_LN1_347"
"CRC11_PT1_536","1","CRC11_PT1_536"
"CRC11_PT3_776","1","CRC11_PT3_776"
"CRC11_PT4_716","1","CRC11_PT4_716"
"CRC11_PT4_746","1","CRC11_PT4_746"
"CRC11_PT4_748","1","CRC11_PT4_748"
"CRC11_PT1_441","1","CRC11_PT1_441"
"CRC11_PT3_789","1","CRC11_PT3_789"
"CRC11_PT4_721","1","CRC11_PT4_721"
"CRC11_PT1_454","1","CRC11_PT1_454"
"CRC11_PT4_720","1","CRC11_PT4_720"
"CRC11_PT3_781","1","CRC11_PT3_781"
"CRC11_LN1_302","1","CRC11_LN1_302"
"CRC11_PT1_468","1","CRC11_PT1_468"
"CRC11_LN1_326","1","CRC11_LN1_326"
"CRC11_PT3_762","1","CRC11_PT3_762"
"CRC11_PT1_428","1","CRC11_PT1_428"
"CRC11_LN1_303","1","CRC11_LN1_303"
"CRC11_PT1_455","1","CRC11_PT1_455"
"CRC11_PT3_779","1","CRC11_PT3_779"
"CRC11_PT4_742","1","CRC11_PT4_742"
"CRC11_PT4_740","1","CRC11_PT4_740"
"CRC11_LN1_327","1","CRC11_LN1_327"
"CRC11_PT1_429","1","CRC11_PT1_429"
"CRC11_PT3_755","1","CRC11_PT3_755"
"CRC11_LN1_378","1","CRC11_LN1_378"
"CRC11_PT4_731","1","CRC11_PT4_731"
"CRC11_PT1_430","1","CRC11_PT1_430"
"CRC11_LN1_360","1","CRC11_LN1_360"
"CRC11_PT4_715","1","CRC11_PT4_715"
"CRC11_PT3_769","1","CRC11_PT3_769"
"CRC11_PT3_772","1","CRC11_PT3_772"
"CRC11_PT3_749","1","CRC11_PT3_749"
"CRC11_PT1_427","1","CRC11_PT1_427"
"CRC11_PT2_485","1","CRC11_PT2_485"
"CRC11_PT4_703","1","CRC11_PT4_703"
"CRC11_PT4_727","1","CRC11_PT4_727"
"CRC11_LN1_362","1","CRC11_LN1_362"
"CRC11_PT3_796","1","CRC11_PT3_796"
"CRC11_PT1_444","1","CRC11_PT1_444"
"CRC11_PT1_542","1","CRC11_PT1_542"
"CRC11_PT1_445","1","CRC11_PT1_445"
"CRC11_LN1_324","1","CRC11_LN1_324"
"CRC11_PT3_778","1","CRC11_PT3_778"
"CRC11_LN1_348","1","CRC11_LN1_348"
"CRC11_PT3_774","1","CRC11_PT3_774"
"CRC11_PT1_537","1","CRC11_PT1_537"
"CRC11_PT3_785","1","CRC11_PT3_785"
"CRC11_LN1_308","1","CRC11_LN1_308"
