,dat_type,accuracy,clone_0,clone_1,clone_2,clone_3
0,original,0.8260869565217391,18,84,17,4
1,resampled,0.6376811594202898,25,42,30,26
2,resampled,0.6086956521739131,32,74,0,17
3,resampled,0.2608695652173913,30,1,54,38
4,resampled,0.5797101449275363,33,50,8,32
5,resampled,0.37681159420289856,49,17,50,7
6,resampled,0.5362318840579711,6,53,7,57
7,resampled,0.3188405797101449,66,11,45,1
8,resampled,0.6521739130434783,7,51,20,45
9,resampled,0.7391304347826086,35,56,23,9
10,resampled,0.8115942028985508,0,56,58,9
